DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
1/1/25,00:00:00,BAL,,Cash balance at the start of business day 01.01 CST,,,,"52,373.11"
1/2/25,00:00:00,BAL,,Cash balance at the start of business day 02.01 CST,,,,"52,373.11"
1/3/25,00:00:00,BAL,,Cash balance at the start of business day 03.01 CST,,,,"52,373.11"
1/3/25,08:30:16,TRD,1002516637119,BOT +2 MSTR 100 (Weeklys) 3 JAN 25 250 PUT @.11 CBOE,-0.02,-1.30,-22.00,"52,349.79"
1/3/25,09:59:38,TRD,1002537533036,SOLD -2 MSTR 100 (Weeklys) 10 JAN 25 270 PUT @2.00 CBOE,-0.04,-1.30,400.00,"52,748.45"
1/4/25,00:00:00,BAL,,Cash balance at the start of business day 04.01 CST,,,,"52,748.45"
1/5/25,00:00:00,BAL,,Cash balance at the start of business day 05.01 CST,,,,"52,748.45"
1/6/25,00:00:00,BAL,,Cash balance at the start of business day 06.01 CST,,,,"52,748.45"
1/6/25,08:36:18,TRD,1002543611445,SOLD -2 W 100 17 JAN 25 50 CALL @.79 CBOE,-0.03,-1.30,158.00,"52,905.12"
1/7/25,00:00:00,BAL,,Cash balance at the start of business day 07.01 CST,,,,"52,905.12"
1/8/25,00:00:00,BAL,,Cash balance at the start of business day 08.01 CST,,,,"52,905.12"
1/9/25,00:00:00,BAL,,Cash balance at the start of business day 09.01 CST,,,,"52,905.12"
1/10/25,00:00:00,BAL,,Cash balance at the start of business day 10.01 CST,,,,"52,905.12"
1/10/25,09:41:26,TRD,1002568412405,BOT +2 MSTR 100 (Weeklys) 10 JAN 25 270 PUT @.08,-0.02,-1.30,-16.00,"52,887.80"
1/10/25,09:50:44,TRD,1002571816824,SOLD -2 MSTR 100 17 JAN 25 270 PUT @2.76 CBOE,-0.05,-1.30,552.00,"53,438.45"
1/10/25,14:39:07,TRD,1002576205076,SOLD -2 DIAGONAL W 100 (Weeklys) 24 JAN 25/17 JAN 25 46/50 CALL @1.15 CBOE,-0.06,-2.60,230.00,"53,665.79"
1/11/25,00:00:00,BAL,,Cash balance at the start of business day 11.01 CST,,,,"53,665.79"
1/12/25,00:00:00,BAL,,Cash balance at the start of business day 12.01 CST,,,,"53,665.79"
1/13/25,00:00:00,BAL,,Cash balance at the start of business day 13.01 CST,,,,"53,665.79"
1/14/25,00:00:00,BAL,,Cash balance at the start of business day 14.01 CST,,,,"53,665.79"
1/15/25,00:00:00,BAL,,Cash balance at the start of business day 15.01 CST,,,,"53,665.79"
1/15/25,14:09:46,TRD,1002571816825,BOT +1 MSTR 100 17 JAN 25 270 PUT @.25 CBOE,-0.01,-0.65,-25.00,"53,640.13"
1/15/25,14:10:05,TRD,1002571816825,BOT +1 MSTR 100 17 JAN 25 270 PUT @.25 CBOE,-0.01,-0.65,-25.00,"53,614.47"
1/15/25,14:39:43,TRD,1002600384334,SOLD -2 MSTR 100 (Weeklys) 24 JAN 25 290 PUT @2.15 MIAX,-0.04,-1.30,430.00,"54,043.13"
1/16/25,00:00:00,BAL,,Cash balance at the start of business day 16.01 CST,,,,"54,043.13"
1/17/25,00:00:00,BAL,,Cash balance at the start of business day 17.01 CST,,,,"54,043.13"
1/18/25,00:00:00,BAL,,Cash balance at the start of business day 18.01 CST,,,,"54,043.13"
1/19/25,00:00:00,BAL,,Cash balance at the start of business day 19.01 CST,,,,"54,043.13"
1/20/25,00:00:00,BAL,,Cash balance at the start of business day 20.01 CST,,,,"54,043.13"
1/21/25,00:00:00,BAL,,Cash balance at the start of business day 21.01 CST,,,,"54,043.13"
1/22/25,00:00:00,BAL,,Cash balance at the start of business day 22.01 CST,,,,"54,043.13"
1/22/25,11:59:35,TRD,1002600384335,BOT +2 MSTR 100 (Weeklys) 24 JAN 25 290 PUT @.21 CBOE,-0.02,-1.30,-42.00,"53,999.81"
1/22/25,12:09:17,TRD,1002631665297,SOLD -1 MSTR 100 (Weeklys) 31 JAN 25 300 PUT @1.99 CBOE,-0.02,-0.65,199.00,"54,198.14"
1/22/25,12:09:46,TRD,1002631665309,SOLD -1 MSTR 100 (Weeklys) 31 JAN 25 290 PUT @1.56 CBOE,-0.01,-0.65,156.00,"54,353.48"
1/23/25,00:00:00,BAL,,Cash balance at the start of business day 23.01 CST,,,,"54,353.48"
1/24/25,00:00:00,BAL,,Cash balance at the start of business day 24.01 CST,,,,"54,353.48"
1/25/25,00:00:00,BAL,,Cash balance at the start of business day 25.01 CST,,,,"54,353.48"
1/26/25,00:00:00,BAL,,Cash balance at the start of business day 26.01 CST,,,,"54,353.48"
1/27/25,00:00:00,BAL,,Cash balance at the start of business day 27.01 CST,,,,"54,353.48"
1/25/25,02:18:39,EXP,91453362478,SOLD -200.0 W UPON WAYFAIR INC CLASS A,-0.29,,"9,200.00","63,553.19"
1/25/25,02:22:12,RAD,91453363305,Removed due to Assignment CALL WAYFAIR INC $46 EXP 01/24/25: ASG: 2.0 .W250124C46,,,,"63,553.19"
