DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
11/4/25,11:25:10,CRC,106219281296,"Tfr BANK OF AMERICA, N, MR MAX GLENN AND 25000.0 US$",,,"25,000.00","82,671.83"
11/5/25,13:47:06,TRD,1004574824507,BOT +1 BE 100 (Weeklys) 7 NOV 25 105 PUT @.13 CBOE,-0.01,-0.65,-13.00,"82,658.17"
11/6/25,00:00:00,BAL,,Cash balance at the start of business day 06.11 CST,,,,"82,658.17"
11/6/25,08:30:01,TRD,1004576002377,BOT +1 MU 100 (Weeklys) 7 NOV 25 202.5 PUT @.14 PHLX,-0.01,-0.65,-14.00,"82,643.51"
11/6/25,08:30:06,TRD,1004571297642,BOT +1 MU 100 (Weeklys) 7 NOV 25 200 PUT @.11 CBOE,-0.01,-0.65,-11.00,"82,631.85"
11/7/25,00:00:00,BAL,,Cash balance at the start of business day 07.11 CST,,,,"82,631.85"
11/7/25,11:46:49,TRD,1004632621835,SOLD -1 MU 100 (Weeklys) 14 NOV 25 200 PUT @1.07 CBOE,-0.01,-0.65,107.00,"82,738.19"
11/7/25,11:48:56,TRD,1004632621960,SOLD -1 BE 100 (Weeklys) 14 NOV 25 100 PUT @1.18 PHLX,-0.01,-0.65,118.00,"82,855.53"
11/7/25,11:55:49,TRD,1004633302332,SOLD -1 MU 100 (Weeklys) 14 NOV 25 200 PUT @1.11 MIAX,-0.01,-0.65,111.00,"82,965.87"
11/8/25,00:00:00,BAL,,Cash balance at the start of business day 08.11 CST,,,,"82,965.87"
11/9/25,00:00:00,BAL,,Cash balance at the start of business day 09.11 CST,,,,"82,965.87"
11/10/25,00:00:00,BAL,,Cash balance at the start of business day 10.11 CST,,,,"82,965.87"
11/10/25,11:02:24,TRD,1004633302333,BOT +1 MU 100 (Weeklys) 14 NOV 25 200 PUT @.10 CBOE,-0.01,-0.65,-10.00,"82,955.21"
11/10/25,14:24:40,TRD,1004650538918,SOLD -1 BE 100 (Weeklys) 14 NOV 25 120 PUT @1.63 CBOE,-0.01,-0.65,163.00,"83,117.55"
11/10/25,14:28:12,TRD,1004650539086,SOLD -1 AMD 100 (Weeklys) 14 NOV 25 225 PUT @1.26 CBOE,-0.01,-0.65,126.00,"83,242.89"
11/10/25,14:38:16,TRD,1004650539569,SOLD -1 BE 100 (Weeklys) 14 NOV 25 115 PUT @.94 BOX,-0.01,-0.65,94.00,"83,336.23"
11/11/25,00:00:00,BAL,,Cash balance at the start of business day 11.11 CST,,,,"83,336.23"
11/11/25,08:38:09,TRD,1004632621836,BOT +1 MU 100 (Weeklys) 14 NOV 25 200 PUT @.10 CBOE,-0.01,-0.65,-10.00,"83,325.57"
11/11/25,11:25:10,TRD,1004657292103,SOLD -1 AMD 100 (Weeklys) 14 NOV 25 220 PUT @1.00 CBOE,-0.01,-0.65,100.00,"83,424.91"
11/12/25,00:00:00,BAL,,Cash balance at the start of business day 12.11 CST,,,,"83,424.91"
