DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
8/1/24,00:00:00,BAL,,Cash balance at the start of business day 01.08 CST,,,,"45,000.95"
8/1/24,08:31:34,TRD,1001146457059,BOT +1 NVDA 100 (Weeklys) 2 AUG 24 104 PUT @.08 CBOE,-0.01,-0.65,-8.00,"44,992.29"
8/2/24,00:00:00,BAL,,Cash balance at the start of business day 02.08 CST,,,,"44,992.29"
8/2/24,13:23:12,TRD,1001208066820,SOLD -2 DIAGONAL NVDA 100 (Weeklys) 9 AUG 24/2 AUG 24 109/112 PUT @.00 CBOE,-0.09,-2.60,,"44,989.60"
8/3/24,00:00:00,BAL,,Cash balance at the start of business day 03.08 CST,,,,"44,989.60"
8/4/24,00:00:00,BAL,,Cash balance at the start of business day 04.08 CST,,,,"44,989.60"
8/5/24,00:00:00,BAL,,Cash balance at the start of business day 05.08 CST,,,,"44,989.60"
8/3/24,02:10:07,RAD,84263149975,CALL WAYFAIR INC $61 EXP 08/02/24: EXP: 1.0 .W240802C61,,,,"44,989.60"
8/5/24,09:19:57,TRD,1001216755764,SOLD -1 NVDA 100 (Weeklys) 9 AUG 24 80 PUT @.76 CBOE,-0.01,-0.65,76.00,"45,064.94"
8/5/24,09:22:28,TRD,1001216755975,SOLD -1 AAPL 100 (Weeklys) 9 AUG 24 190 PUT @.82 PHLX,-0.01,-0.65,82.00,"45,146.28"
8/6/24,00:00:00,BAL,,Cash balance at the start of business day 06.08 CST,,,,"45,146.28"
8/6/24,09:35:34,TRD,1001216755765,BOT +1 NVDA 100 (Weeklys) 9 AUG 24 80 PUT @.08 CBOE,-0.01,-0.65,-8.00,"45,137.62"
8/7/24,00:00:00,BAL,,Cash balance at the start of business day 07.08 CST,,,,"45,137.62"
8/8/24,00:00:00,BAL,,Cash balance at the start of business day 08.08 CST,,,,"45,137.62"
8/8/24,08:30:06,TRD,1001217764013,BOT +1 AAPL 100 (Weeklys) 9 AUG 24 190 PUT @.06 CBOE,-0.01,-0.65,-6.00,"45,130.96"
8/8/24,12:27:44,TRD,1001264304442,SOLD -1 DIAGONAL NVDA 100 (Weeklys) 30 AUG 24/9 AUG 24 98/109 PUT @.00 CBOE,-0.03,-1.30,,"45,129.63"
8/8/24,12:27:45,TRD,1001264304442,SOLD -1 DIAGONAL NVDA 100 (Weeklys) 30 AUG 24/9 AUG 24 98/109 PUT @.00 CBOE,-0.05,-1.30,,"45,128.28"
