Days to Expiration,Strike Price,Option Premium,Potential Profit,Potential Loss,Risk Reward Ratio
30,311.28000488281253,14.840998925537278,14.840998925537278,-14.840998925537278,0.999999999993262
30,328.5733384874132,20.298022939831426,20.298022939831426,-20.298022939831426,0.9999999999950735
30,345.8666720920139,26.82569355105437,26.82569355105437,-26.82569355105437,0.9999999999962723
30,363.1600056966146,34.4240796204362,34.4240796204362,-34.4240796204362,0.999999999997095
30,380.4533393012153,43.06685562862438,43.06685562862438,-43.06685562862438,0.999999999997678
30,397.74667290581596,52.70665348922725,52.70665348922725,-44.05998668692692,1.1962476036050702
30,415.0400065104167,63.28068048968271,63.28068048968271,-37.34068008278166,1.6946847338940914
30,432.33334011501734,74.71603485945462,74.71603485945462,-31.482700847952913,2.373240949690488
30,449.626673719618,86.93436815231064,86.93436815231064,-26.407700536208267,3.292008254667366
30,466.9200073242187,99.8557240151568,99.8557240151568,-22.035722794453704,4.531538399994617
60,311.28000488281253,29.214092642070355,29.214092642070355,-29.214092642070355,0.9999999999965771
60,328.5733384874132,36.230544736798564,36.230544736798564,-36.230544736798564,0.9999999999972399
60,345.8666720920139,44.05183239349009,44.05183239349009,-44.05183239349009,0.9999999999977299
60,363.1600056966146,52.64815256824747,52.64815256824747,-52.64815256824747,0.9999999999981005
60,380.4533393012153,61.98288257532681,61.98288257532681,-61.98288257532681,0.9999999999983866
60,397.74667290581596,72.01474817807176,72.01474817807176,-63.368081375771425,1.1364514533888461
60,415.0400065104167,82.69966200776057,82.69966200776057,-56.759661600859516,1.4570147121236983
60,432.33334011501734,93.99223142301173,93.99223142301173,-50.75889741151002,1.8517390293334661
60,449.626673719618,105.8469568264114,105.8469568264114,-45.32028921030903,2.335531362895645
60,466.9200073242187,118.21915339584936,118.21915339584936,-40.39915217514627,2.926278078387141
90,311.28000488281253,40.84748838646419,40.84748838646419,-40.84748838646419,0.9999999999975518
90,328.5733384874132,48.71280149376035,48.71280149376035,-48.71280149376035,0.9999999999979471
90,345.8666720920139,57.2428598286844,57.2428598286844,-57.2428598286844,0.9999999999982531
90,363.1600056966146,66.40500588602293,66.40500588602293,-66.40500588602293,0.9999999999984941
90,380.4533393012153,76.16465621145568,76.16465621145568,-76.16465621145568,0.999999999998687
90,397.74667290581596,86.48632318519213,86.48632318519213,-77.8396563828918,1.1110830546277906
90,415.0400065104167,97.33441551125216,97.33441551125216,-71.39441510435111,1.3633337477287324
90,432.33334011501734,108.6738500838189,108.6738500838189,-65.4405160723172,1.6606508720615716
90,449.626673719618,120.47050655688341,120.47050655688341,-59.943838940781035,2.0097229120693476
90,466.9200073242187,132.69155311593815,132.69155311593815,-54.87155189523506,2.4182212555066993
180,311.28000488281253,67.1945330460843,67.1945330460843,-67.1945330460843,0.9999999999985117
180,328.5733384874132,76.44272862966189,76.44272862966189,-76.44272862966189,0.9999999999986918
180,345.8666720920139,86.1537891460812,86.1537891460812,-86.1537891460812,0.9999999999988393
180,363.1600056966146,96.29943620442995,96.29943620442995,-96.29943620442995,0.9999999999989616
180,380.4533393012153,106.85267082732693,106.85267082732693,-106.85267082732693,0.9999999999990641
180,397.74667290581596,117.78786323212469,117.78786323212469,-109.14119642982436,1.0792245924090822
180,415.0400065104167,129.08079154103044,129.08079154103044,-103.14079113412939,1.2515008865216308
180,432.33334011501734,140.70864380889597,140.70864380889597,-97.47530979739426,1.4435311270230309
180,449.626673719618,152.64999417103172,152.64999417103172,-92.12332655492935,1.6570178246857716
180,466.9200073242187,164.8847611898917,164.8847611898917,-87.0647599691886,1.8938174440273363
365,311.28000488281253,103.08264062854342,103.08264062854342,-103.08264062854342,0.9999999999990299
365,328.5733384874132,113.69194151705281,113.69194151705281,-113.69194151705281,0.9999999999991204
365,345.8666720920139,124.6042055471235,124.6042055471235,-124.6042055471235,0.9999999999991974
365,363.1600056966146,135.79910098357846,135.79910098357846,-135.79910098357846,0.9999999999992637
365,380.4533393012153,147.25801238839068,147.25801238839068,-147.25801238839068,0.999999999999321
365,397.74667290581596,158.9638720165001,158.9638720165001,-150.31720521419976,1.0575228017968616
365,415.0400065104167,170.9010086984758,170.9010086984758,-144.96100829157476,1.1789446742437624
365,432.33334011501734,183.05501267997673,183.05501267997673,-139.82167866847502,1.3092033683408955
365,449.626673719618,195.41261485691416,195.41261485691416,-134.8859472408118,1.4487247845611322
365,466.9200073242187,207.9615789025669,207.9615789025669,-130.14157768186382,1.5979641756824046
