DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
1/28/25,00:00:00,BAL,,Cash balance at the start of business day 28.01 CST,,,,"63,553.19"
1/29/25,00:00:00,BAL,,Cash balance at the start of business day 29.01 CST,,,,"63,553.19"
1/28/25,16:14:29,CRC,91589330456,"Tfr Bank of America, N, MR MAX GLENN AND 22580.0 US$",,,"22,580.00","86,133.19"
1/30/25,00:00:00,BAL,,Cash balance at the start of business day 30.01 CST,,,,"86,133.19"
1/30/25,13:56:27,TRD,1002631665298,BOT +1 MSTR 100 (Weeklys) 31 JAN 25 300 PUT @.20 CBOE,-0.01,-0.65,-20.00,"86,112.53"
1/30/25,14:17:21,TRD,1002631665310,BOT +1 MSTR 100 (Weeklys) 31 JAN 25 290 PUT @.16 CBOE,-0.01,-0.65,-16.00,"86,095.87"
1/30/25,19:18:55,DOI,91717950117,SCHWAB1 INT 12/30-01/29 2.26 US$,,,2.26,"86,098.13"
1/31/25,00:00:00,BAL,,Cash balance at the start of business day 31.01 CST,,,,"86,098.13"
1/31/25,12:51:16,TRD,1002692445269,SOLD -1 COIN 100 (Weeklys) 7 FEB 25 260 PUT @1.16,-0.01,-0.65,116.00,"86,213.47"
1/31/25,12:52:36,TRD,1002692445302,SOLD -1 COIN 100 (Weeklys) 7 FEB 25 255 PUT @.89 CBOE,-0.01,-0.65,89.00,"86,301.81"
2/1/25,00:00:00,BAL,,Cash balance at the start of business day 01.02 CST,,,,"86,301.81"
2/2/25,00:00:00,BAL,,Cash balance at the start of business day 02.02 CST,,,,"86,301.81"
2/3/25,00:00:00,BAL,,Cash balance at the start of business day 03.02 CST,,,,"86,301.81"
2/4/25,00:00:00,BAL,,Cash balance at the start of business day 04.02 CST,,,,"86,301.81"
